Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Critic_Score,User_Score,Rating
Wii Sports,Wii,2006,Sports,Nintendo,41.36,28.96,3.77,76.0,8.0,E
Super Mario Bros.,NES,1985,Platform,Nintendo,29.08,3.58,6.81,72.0,7.5,
Mario Kart Wii,Wii,2008,Racing,Nintendo,15.68,12.76,3.79,82.0,8.3,E
Wii Sports Resort,Wii,2009,Sports,Nintendo,15.61,10.93,3.28,80.0,8.0,E
Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,11.27,8.89,10.22,72.0,7.5,
Tetris,GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,72.0,7.5,
New Super Mario Bros.,DS,2006,Platform,Nintendo,11.28,9.14,6.5,89.0,8.5,E
Wii Play,Wii,2006,Misc,Nintendo,13.96,9.18,2.93,58.0,6.6,E
New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.44,6.94,4.7,87.0,8.4,E
Duck Hunt,NES,1984,Shooter,Nintendo,26.93,0.63,0.28,72.0,7.5,
Nintendogs,DS,2005,Simulation,Nintendo,9.05,10.95,1.93,72.0,7.5,
Mario Kart DS,DS,2005,Racing,Nintendo,9.71,7.47,4.13,91.0,8.6,E
Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,9.0,6.18,7.2,72.0,7.5,
Wii Fit,Wii,2007,Sports,Nintendo,8.92,8.03,3.6,80.0,7.7,E
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,15.0,4.89,0.24,61.0,6.3,E
Wii Fit Plus,Wii,2009,Sports,Nintendo,9.01,8.49,2.53,80.0,7.4,E
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.02,9.09,0.98,97.0,8.2,M
Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,95.0,9.0,M
Super Mario World,SNES,1990,Platform,Nintendo,12.78,3.75,3.54,72.0,7.5,
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,4.74,9.2,4.16,77.0,7.9,E
Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,6.38,4.46,6.04,72.0,7.5,
Super Mario Land,GB,1989,Platform,Nintendo,10.83,2.71,4.18,72.0,7.5,
Super Mario Bros. 3,NES,1988,Platform,Nintendo,9.54,3.44,3.84,72.0,7.5,
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9.66,5.14,0.06,97.0,8.1,M
Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,95.0,8.7,M
Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,6.06,3.9,5.38,72.0,7.5,
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,3.43,5.35,5.32,77.0,7.1,E
Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,5.51,3.17,5.65,72.0,7.5,
Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,95.0,8.4,E
Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,9.04,4.24,0.13,88.0,3.4,M
Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,5.89,5.04,3.12,72.0,7.5,
Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,6.03,5.86,0.36,72.0,7.5,
Call of Duty: Black Ops,X360,2010,Shooter,Activision,9.7,3.68,0.11,87.0,6.3,M
Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,5.28,4.19,4.35,72.0,7.5,
Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,4.99,5.73,0.65,83.0,5.3,M
Call of Duty: Black Ops II,X360,2012,Shooter,Activision,8.25,4.24,0.07,83.0,4.8,M
Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,8.52,3.59,0.08,94.0,6.3,M
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,5.54,5.73,0.49,88.0,3.2,M
Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,6.99,4.51,0.3,97.0,8.5,M
Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,6.62,2.55,2.66,93.0,8.9,T
Mario Kart 7,3DS,2011,Racing,Nintendo,5.03,4.02,2.69,85.0,8.2,E
Call of Duty: Black Ops,PS3,2010,Shooter,Activision,5.99,4.37,0.48,88.0,6.4,M
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,3.96,6.31,0.38,97.0,8.3,M
Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,2.5,3.45,5.33,86.0,8.7,E
Halo 3,X360,2007,Shooter,Microsoft Game Studios,7.97,2.81,0.13,94.0,7.8,M
Super Mario 64,N64,1996,Platform,Nintendo,6.91,2.85,1.91,72.0,7.5,
Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,4.34,2.71,3.96,72.0,7.5,
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,4.35,3.49,3.1,72.0,7.5,
Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,89.0,8.5,E
Super Mario Galaxy,Wii,2007,Platform,Nintendo,6.06,3.35,1.2,97.0,8.9,E
Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,6.16,2.04,2.69,72.0,7.5,
Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,6.76,3.07,0.14,98.0,7.9,M
Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,96.0,8.7,E
Super Mario 3D Land,3DS,2011,Platform,Nintendo,4.89,3.0,2.14,90.0,8.4,E
Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,2.96,4.82,0.81,84.0,7.5,E
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,4.99,3.64,0.38,94.0,6.3,M
Super Mario All-Stars,SNES,1993,Platform,Nintendo,5.99,2.15,2.12,72.0,7.5,
Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.76,3.69,0.44,98.0,7.5,M
Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,4.34,2.65,3.15,72.0,7.5,
Super Mario 64,DS,2004,Platform,Nintendo,5.01,3.07,1.25,72.0,7.5,
Call of Duty: Ghosts,X360,2013,Shooter,Activision,6.73,2.56,0.04,73.0,2.6,M
Just Dance 3,Wii,2011,Misc,Ubisoft,5.95,3.11,0.0,74.0,7.8,E10+
